voice,title,line_index,line,model,sample_rate,audio_seconds,synth_seconds,dsp_seconds,total_before_playback_seconds,file,genesis,target
launch_control_unit,Launch Control Unit,4,"If you are reporting a problem, tell me what the bug is and I will get it fixed and report back immediately.",/Users/davidmar/src/phone-agent-scheduler/models/piper/en_US-joe-medium.onnx,22050,5.166,0.531,0.0668,0.5978,results/space-channel-voices/04-if-you-are-reporting-a-problem-tell-me-wha-launch_control_unit.wav,Crisp operations voice with a controlled machine edge.,"Launch windows, status, timings, numbers, and confirmations."
deep_space_radio,Deep Space Radio,4,"If you are reporting a problem, tell me what the bug is and I will get it fixed and report back immediately.",/Users/davidmar/src/phone-agent-scheduler/models/piper/en_US-kusal-medium.onnx,22050,4.563,0.538,0.0546,0.5925,results/space-channel-voices/04-if-you-are-reporting-a-problem-tell-me-wha-deep_space_radio.wav,Warm lower carrier and wider combing for a distant relay-station feel.,Deep Space Radio and longform ambience.
bug_intake_clerk,Bug Intake Clerk,4,"If you are reporting a problem, tell me what the bug is and I will get it fixed and report back immediately.",/Users/davidmar/src/phone-agent-scheduler/models/piper/en_GB-cori-medium.onnx,22050,5.399,0.5875,0.0637,0.6512,results/space-channel-voices/04-if-you-are-reporting-a-problem-tell-me-wha-bug_intake_clerk.wav,"Sharper, slightly urgent droid clerk for problem reports without making speech harsh.","Bug intake, ticket creation, and customer-report narration."
retirement_party_mvp,Retirement Party MVP,5,"I do not experience fear, but I recognize the urgency of your request.",/Users/davidmar/src/phone-agent-scheduler/models/piper/en_GB-cori-medium.onnx,22050,4.934,0.5935,0.0654,0.6589,results/space-channel-voices/05-i-do-not-experience-fear-but-i-recognize-t-retirement_party_mvp.wav,"Chad's favorite direction: a_dsp character, but closer to a clean protocol droid than a crunchy robot.",Default candidate for Space Channel network operations.
mvp_shop_less_crunch,Shop Droid Less Crunch,5,"I do not experience fear, but I recognize the urgency of your request.",/Users/davidmar/src/phone-agent-scheduler/models/piper/en_GB-cori-medium.onnx,22050,4.795,0.5728,0.005,0.5778,results/space-channel-voices/05-i-do-not-experience-fear-but-i-recognize-t-mvp_shop_less_crunch.wav,"a_dsp with the digital crunch removed, keeping only the droid-shop metal and hollow body.","Friendly service droid, still obviously synthetic."
euro_protocol_gold,Euro Protocol Gold,5,"I do not experience fear, but I recognize the urgency of your request.",/Users/davidmar/src/phone-agent-scheduler/models/piper/en_GB-alan-medium.onnx,22050,5.085,0.5423,0.004,0.5463,results/space-channel-voices/05-i-do-not-experience-fear-but-i-recognize-t-euro_protocol_gold.wav,"Protocol-droid read: British base voice, light metallic sheen, almost no grit.",Polished concierge answers and scripted greetings.
jabba_shop_attendant,Jabba Shop Attendant,5,"I do not experience fear, but I recognize the urgency of your request.",/Users/davidmar/src/phone-agent-scheduler/models/piper/en_GB-jenny_dioco-medium.onnx,22050,4.238,0.5156,0.0533,0.5689,results/space-channel-voices/05-i-do-not-experience-fear-but-i-recognize-t-jabba_shop_attendant.wav,"Palace service droid: hollow and theatrical, with raspy resonance instead of digital crush.",Characterful intake and handoff prompts.
space_ops_switchboard,Space Ops Switchboard,5,"I do not experience fear, but I recognize the urgency of your request.",/Users/davidmar/src/phone-agent-scheduler/models/piper/en_GB-cori-medium.onnx,22050,4.423,0.5619,0.0031,0.565,results/space-channel-voices/05-i-do-not-experience-fear-but-i-recognize-t-space_ops_switchboard.wav,"Call-center droid: clear first, metallic second.",The opening line and suggestion flow.
uap_archive_vocoder,UAP Archive Vocoder,5,"I do not experience fear, but I recognize the urgency of your request.",/Users/davidmar/src/phone-agent-scheduler/models/piper/en_GB-alan-medium.onnx,22050,4.923,0.5403,0.0691,0.6094,results/space-channel-voices/05-i-do-not-experience-fear-but-i-recognize-t-uap_archive_vocoder.wav,"Smooth vocoder-forward archive voice: synthetic carrier, no digital bit-crush.","UFO files, anomaly reports, and classified-flavored reads."
r2_gatekeeper,R2 Gatekeeper,5,"I do not experience fear, but I recognize the urgency of your request.",/Users/davidmar/src/phone-agent-scheduler/models/piper/en_US-amy-medium.onnx,22050,4.621,0.5655,0.0575,0.623,results/space-channel-voices/05-i-do-not-experience-fear-but-i-recognize-t-r2_gatekeeper.wav,Astromech-adjacent gatekeeper translated into speech: synthetic but smooth and intelligible.,"Short responses, confirmations, and routing prompts."
launch_control_unit,Launch Control Unit,5,"I do not experience fear, but I recognize the urgency of your request.",/Users/davidmar/src/phone-agent-scheduler/models/piper/en_US-joe-medium.onnx,22050,4.145,0.5147,0.0449,0.5596,results/space-channel-voices/05-i-do-not-experience-fear-but-i-recognize-t-launch_control_unit.wav,Crisp operations voice with a controlled machine edge.,"Launch windows, status, timings, numbers, and confirmations."
deep_space_radio,Deep Space Radio,5,"I do not experience fear, but I recognize the urgency of your request.",/Users/davidmar/src/phone-agent-scheduler/models/piper/en_US-kusal-medium.onnx,22050,3.437,0.4953,0.0373,0.5326,results/space-channel-voices/05-i-do-not-experience-fear-but-i-recognize-t-deep_space_radio.wav,Warm lower carrier and wider combing for a distant relay-station feel.,Deep Space Radio and longform ambience.
bug_intake_clerk,Bug Intake Clerk,5,"I do not experience fear, but I recognize the urgency of your request.",/Users/davidmar/src/phone-agent-scheduler/models/piper/en_GB-cori-medium.onnx,22050,4.284,0.5603,0.0493,0.6096,results/space-channel-voices/05-i-do-not-experience-fear-but-i-recognize-t-bug_intake_clerk.wav,"Sharper, slightly urgent droid clerk for problem reports without making speech harsh.","Bug intake, ticket creation, and customer-report narration."
